,Question,Option A,Option B,Option C,Option D,Correct Answer
2104,Who became the Mughal emperor after Aurangzeb?,a. Jahandar Shah,b. Bahadur Shah I,c. Shah Alam,d. Bahadur Shah Jafar,(b)
2106,In which year Vasco da Gama came to India?,a. 1350 AD,b. 1450 AD,c. 1498 AD,d. 1598 AD,(c)
2108,Who founded the Indian National Congress?,a. Mahatma Gandhi,b. Queen Victoria,c. Sardar Patel,d. A.0.Hume,(d)
2110,Who wrote “The Discovery of India”?,a. Jawahar Lal Nehru,b. Sharat Chandra,c. Karl Marks,d. Mahatma Gandhi,(a)
2112,When did the Jalianwala Begh incident occur?,a. 1917,b. 1918,c. 1919,d. 1920,(c)
2114,Who started the Dandi March?,a. Swami Dayananda,b. Madan Mohan Malviya,c. Bal Gangadhar Tilak,d. Mahatma Gandhi,(d)
2116,Which among the following is the autobiography of Gandhiji?,a. India Divided,b. Nation in Making,c. Neel Darpan,d. My experiments with Truth,(d)
2118,Which one of the following is the oldest mountain system?,a. Nilgiri,b. Aravali,c. Satpura,d. Vindhya,(b)
2121,Which of the following groups represents cash crops?,"a. Wheat, Barley, Gram","b. Cotton, Jute, Tobacco","c. Paddy, Pea, Tur","d. Gram, Maize, Moong",(b)
2123,The state from which the Tropic of Cancer does not pass,a. Tripura,b. West Bengal,c. Mizoram,d. Manipur,(d)
2125,Which one of the following is the source of Aluminium?,a. Bauxite,b. Zinc,c. Lead,d. Tin,(a)
2127,Which of the following is the longest river of the world?,a. Amazon river,b. Yangtze river,c. Ganga river,d. Nile river,(d)
2129,The Toda tribes are the original inhabitants of,a. Aravalli hills,b. Nilgiri hills,c. Satpura hills,d. Guru Shikhar,(b)
2131,The state where Shipki-la pass is located at,a. Arunachal Pradesh,b. Sikkim,c. Himachal Pradesh,d. Meghalaya,(c)
2133,The source of the origin of river Narmada,a. Bhedaghat,b. Brahmagiri,c. Mahabaleshwar,d. Amarkantak,(d)
2135,The city where the first Earth summit was organized,a. Rio de Janeiro,b. Shanghai,c. Tokyo,d. Manila,(a)
2138,The first meeting of Constituent Assembly was held in,a. 09 December 1946,b. 10 July 1946,c. 09 August 1946,d. 20 January 1946,(a)
2140,The Architect of the Indian Constitution was,a. Dr.B.R.Ambedkar,b. Dr.Rajendra Prasad,c. Pt.Jawahar Lal Nehru,d. Mahatma Gandhi,(a)
2142,The Chief Election Commissioner is appointed by,a. Election Commission of India,b. President of India,c. Prime Minister of India,d. Chief Justice of Supreme Court,(b)
2144,The first speaker of Lok Sabha was,a. Ganesh Vasudev Mavalankar,b. Pt.Govind Vallabh Pant,c. Ananthasayanam Ayyangar,d. C.Subramaniam,(a)
2146,Right to Education Act came into effect on,a. 2005,b. 2010,c. 2008,d. 2012,(b)
2148,The Panchayati Raj System became more powerful in the year,a. 1990,b. 1993,c. 1994,d. 1996,(b)
2151,‘Forward Bloc’ is a regional party of,a. Odisha,b. Jharkhand,c. West Bengal,d. Chhattisgarh,(c)
2153,‘National Democratic Alliance’ was founded in,a. May 1998,b. June 1996,c. May 1999,d. June 1997,(a)
2155,The Chief Justice of India is,a. Justice Sharad Arvind Bobde,b. Justice Ranjan Gogoi,c. Justice Deepak Mishra,d. Justice Jagdish Singh Kheher,(a)
2157,What was the prime objective of the first five year plan in India?,a. Development of Agriculture,b. Heavy Industry,c. Population control,d. Transportation,(a)
2159,MGNREGA was implemented from the year,a. 2005,b. 2006,c. 2007,d. 2008,(b)
2161,Where is the headquarters of Life Insurance Corporation(LIC)?,a. Delhi,b. Mumbai,c. Chennai,d. Kolkata,(b)
2163,Which of the following comes under Primary Sector?,a. Agriculture,b. Industry,c. Manufacturing,d. Trade,(a)
2165,Where is the headquarters of the Tea Board located?,a. Darjeeling,b. Bengaluru,c. Kolkata,d. Mumbai,(c)
2168,"If ax = b, by = c and cz = a, then the value of xyz is?",a. 1,b. 0,c. 1/abc,d. abc,(a)
2170,If \(\begin{array}{l}\frac{\sqrt{3}-1}{\sqrt{3}+1} = a + b\sqrt{3}\end{array} \) then the value of ‘a’ and ‘b’ is,"a. a = 2, b = -1","b. a = 2, b = 1","c. a = -2, b = 1","d. a = -2, b = -1",(a)
2173,The Solution of the equation 71+x + 71-x = 50 is,a. 0,b. 2,c. \(\begin{array}{l}\pm 1\end{array} \),d. None of these,(c)
2175,A man’s salary is reduced by 10%  In order to have his salary back to the original amount it must be raised by-,a. 8%,b. 10%,c. \(\begin{array}{l}11\frac{1}{9}%\end{array} \),d. \(\begin{array}{l}12\frac{3}{7}%\end{array} \),(c)
2177,10% of 15% of 20% of Rs 500 is,a. 0.50 Rs.,b. 3.50 Rs.,c. 1.50 Rs.,d. 2.50 Rs.,(c)
2179,"A shopkeeper purchases 11 pens for Rs  10 and sells them at the rate of 10 for 11, then profit percent is;",a. 18%,b. 19%,c. 20%,d. 21%,(d)
2181,If the sum of ⅓ and ¼ is x times of their difference then the value of x is-,a. 4,b. 5,c. 6,d. 7,(d)
2183,"If A’s income is 20% more than B  Then, B’s income is-",a. Same as A’s,b. 20% less than A’s,c. \(\begin{array}{l}16\tfrac{2}{3}\end{array} \) % less than A’s,d. 15% less than A’s,(c)
2185,What is the probability that a leap year contains 53 Sundays?,a. 2/7,b. 7/13,c. 2/13,d. None of these,(a)
2188,When (1012 – 1) is divided by 111 the quotient is;,a. 90009009,b. 9009009009,c. 9000009,d. 900000009,(b)
2190,If log 3x+4 = log 729 the value of x will be,a. 3,b. 1,c. 6,d. 2,(d)
2192,"If p persons working p hours a day for each of p days produce p units of works, then the units of work produced by q persons working q hours a day each q day is",a. q3/p2,b. q2/p3,c. p2/q2,d. p3/q2,(a)
2194,If x100 + 2x99 + k is fully divisible by (x+1) then value of k will be,a. 7,b. -3,c. 2,d. 1,(d)
2196,"If radius of a right circular cylinder is increased by 10%, then by what percent it height should be decreased so that its volume remains unchanged",a. 17.26%,b. 17.36%,c. 17.46%,d. None of these,(b)
2198,"If \(\begin{array}{l}\sqrt{x+1} – \sqrt{x-1} = 1\end{array} \), then value of x is",a. 5/4,b. 2/3,c. 4/5,d. 3/5,(a)
2200,"There are thirty cards numbered from 1 to 30  If a card is drawn at random find the probability that, the drawn card has a prime number-",a. 1/2,b. 1/3,c. 1/4,d. 1/5,(b)
